title,cgross,studio,theaters2,theaters1,opening_gross,release_data
The A-Team,77222099,Fox,3535,3544,25669455,6/11/10
A.C.O.D.,175705,TFA,3,42,19001,10/4/13
A.I. Artificial Intelligence,78616689,WB,3242,3242,29352630,6/29/01
A.X.L.,6466069,Global Road,1710,1710,2798229,8/24/18
A Aa,2313043,BSC,115,115,1213057,6/1/16
Aaja Nachle,484108,Yash,66,66,257500,11/30/07
Aarakshan (Reservation),651096,Relbig.,91,91,344661,8/12/11
Aashayein (Wishes),0,Relbig.,14,14,0,8/27/10
Aatsinki: The Story of Arctic Cowboys,6601,Argo.,1,2,2842,1/24/14
Abacus: Small Enough to Jail,113278,PBS,1,8,12528,5/19/17
Abandon,10727683,Par.,2341,2347,5064077,10/18/02
The Abandoned,1331137,ADF,1000,1000,782000,2/23/07
ABC Africa,9075,NYer,1,1,559,5/3/02
The ABC's of Death,21832,Magn.,19,19,10110,3/8/13
ABCD,83372,Eros,38,38,83372,11/30/01
ABCD (Any Body Can Dance),222098,UTV,25,25,95236,2/8/13
ABCD (Any Body Can Dance) 2,892133,UTV,146,146,444195,6/19/15
ABCs of Death 2,7171,Magn.,17,17,4022,10/31/14
Abduction,28087155,LGF,3118,3118,10925253,9/23/11
Abduction: The Megumi Yokota Story,26859,Sage.,1,1,5034,11/24/06
Abel,0,LGF,0,0,0,TBD
Aberdeen,65090,FRun,1,2,5065,8/17/01
Abominable,1810,Free,1,1,1810,4/14/06
Abominable,0,Uni.,0,0,0,9/27/19
Abouna,3290,Leis.,1,1,2350,2/20/04
About a Boy,41385278,Uni.,1207,1756,8557630,5/17/02
About Adam,159668,Mira.,5,11,33300,5/11/01
About Alex,0,Scre.,0,0,0,8/8/14
About Cherry,3003,IFC,3,3,2760,9/21/12
About Elly,470760,CGld,1,16,13180,4/8/15
About Fifty,0,Scre.,0,0,0,11/11/11
About Last Night (2014),48637684,SGem,2253,2253,25649011,2/14/14
About Last Night...,38702310,TriS,642,887,3152469,7/4/86
About Schmidt,65016287,NL,6,1240,282367,12/13/02
About Time,15322921,Uni.,175,1280,1076250,11/1/13
Above and Below,0,Osci.,0,0,0,4/15/16
Above and Beyond,288751,ICir,1,13,6448,1/30/15
Above the Law,18869631,WB,350,868,2037938,4/8/88
Above the Rim,16192320,NL,836,891,3738800,3/25/94
Abracadabra,13975,Sony,10,10,1942,9/15/17
Abraham Lincoln: Vampire Hunter,37519139,Fox,3108,3109,16306974,6/22/12
Absence,1031,Cdgm.,0,0,0,7/5/13
Absence of Malice,40716963,Col.,2,994,97667,11/20/81
Absolute Beginners,930211,Orion,4,4,83743,4/18/86
Absolute Power,50068310,Sony,2568,2568,14678016,2/14/97
